break load img
/home/sophie/anaconda3/envs/gps/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/sophie/anaconda3/envs/gps/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Iteration [1/800], Loss: 455945.3906
Iteration [101/800], Loss: 87698.7936
Iteration [201/800], Loss: 44074.6111
Iteration [301/800], Loss: 29433.9602
Iteration [401/800], Loss: 22095.2528
Iteration [501/800], Loss: 17686.2067
Iteration [601/800], Loss: 14744.5075
Iteration [701/800], Loss: 12642.0340
**Epoch [1/200], Loss: 11078.2887

Iteration [1/800], Loss: 9.7751
Iteration [101/800], Loss: 5.5791
Iteration [201/800], Loss: 5.5993
Iteration [301/800], Loss: 5.4706
Iteration [401/800], Loss: 5.5335
Iteration [501/800], Loss: 5.5384
Iteration [601/800], Loss: 5.6117
Iteration [701/800], Loss: 5.6704
**Epoch [2/200], Loss: 5.6771

Iteration [1/800], Loss: 10.9997
Iteration [101/800], Loss: 5.6241
Iteration [201/800], Loss: 5.5277
Iteration [301/800], Loss: 5.3865
Iteration [401/800], Loss: 5.3437
Iteration [501/800], Loss: 5.3244
Iteration [601/800], Loss: 5.4021
Iteration [701/800], Loss: 5.4931
**Epoch [3/200], Loss: 5.5776

Iteration [1/800], Loss: 8.6238
Iteration [101/800], Loss: 6.1873
Iteration [201/800], Loss: 6.1540
Iteration [301/800], Loss: 6.0522
Iteration [401/800], Loss: 5.8802
Iteration [501/800], Loss: 5.8536
Iteration [601/800], Loss: 5.8493
Iteration [701/800], Loss: 5.8132
**Epoch [4/200], Loss: 5.8699

Iteration [1/800], Loss: 9.6982
Iteration [101/800], Loss: 6.0926
Iteration [201/800], Loss: 6.0664
Iteration [301/800], Loss: 6.0008
Iteration [401/800], Loss: 5.9030
Iteration [501/800], Loss: 5.9801
Iteration [601/800], Loss: 5.8467
Iteration [701/800], Loss: 5.7053
**Epoch [5/200], Loss: 5.6739

Iteration [1/800], Loss: 11.7028
Iteration [101/800], Loss: 4.9494
Iteration [201/800], Loss: 5.1424
Iteration [301/800], Loss: 5.3157
Iteration [401/800], Loss: 5.4206
Iteration [501/800], Loss: 5.4441
Iteration [601/800], Loss: 7.7543
Iteration [701/800], Loss: 7.7703
**Epoch [6/200], Loss: 7.8766

Iteration [1/800], Loss: 12.5454
Iteration [101/800], Loss: 6.1213
Iteration [201/800], Loss: 5.9988
Iteration [301/800], Loss: 6.0884
Iteration [401/800], Loss: 5.8890
Iteration [501/800], Loss: 5.7635
Iteration [601/800], Loss: 5.8096
Iteration [701/800], Loss: 5.6496
**Epoch [7/200], Loss: 5.6453

Iteration [1/800], Loss: 6.8818
Iteration [101/800], Loss: 4.4344
Iteration [201/800], Loss: 5.3151
Iteration [301/800], Loss: 5.1210
Iteration [401/800], Loss: 4.9332
Iteration [501/800], Loss: 4.8892
Iteration [601/800], Loss: 4.7695
Iteration [701/800], Loss: 4.7436
**Epoch [8/200], Loss: 4.6985

Iteration [1/800], Loss: 16.9893
Iteration [101/800], Loss: 5.3133
Iteration [201/800], Loss: 5.3176
Iteration [301/800], Loss: 5.0613
Iteration [401/800], Loss: 5.0095
Iteration [501/800], Loss: 4.9527
Iteration [601/800], Loss: 4.8356
Iteration [701/800], Loss: 4.7936
**Epoch [9/200], Loss: 4.7299

Iteration [1/800], Loss: 10.9198
Iteration [101/800], Loss: 5.1722
Iteration [201/800], Loss: 4.8153
Iteration [301/800], Loss: 4.4544
Iteration [401/800], Loss: 4.8254
Iteration [501/800], Loss: 4.7675
Iteration [601/800], Loss: 4.7138
Iteration [701/800], Loss: 4.7279
**Epoch [10/200], Loss: 4.6288

Iteration [1/800], Loss: 6.3566
Iteration [101/800], Loss: 5.4514
Iteration [201/800], Loss: 5.1789
Iteration [301/800], Loss: 5.0086
Iteration [401/800], Loss: 5.0402
Iteration [501/800], Loss: 4.9783
Iteration [601/800], Loss: 4.7223
Iteration [701/800], Loss: 4.6810
**Epoch [11/200], Loss: 4.5259

Iteration [1/800], Loss: 2.9634
Iteration [101/800], Loss: 3.9402
Iteration [201/800], Loss: 4.0813
Iteration [301/800], Loss: 3.9966
Iteration [401/800], Loss: 3.7421
Iteration [501/800], Loss: 3.9678
Iteration [601/800], Loss: 3.7665
Iteration [701/800], Loss: 3.6500
**Epoch [12/200], Loss: 3.5990

Iteration [1/800], Loss: 9.4435
Iteration [101/800], Loss: 3.2240
Iteration [201/800], Loss: 3.2634
Iteration [301/800], Loss: 3.3660
Iteration [401/800], Loss: 3.5995
Iteration [501/800], Loss: 3.6976
Iteration [601/800], Loss: 3.6785
Iteration [701/800], Loss: 3.6334
**Epoch [13/200], Loss: 3.6518

Iteration [1/800], Loss: 22.9723
Iteration [101/800], Loss: 5.1498
